end_station_name,before_covid_rides,after_covid_rides
Abbeyhill,68.5,191.72932330827066
Balgreen Road,24.5,85.71428571428571
Belford Road,19.0,21.804511278195488
Boroughmuir,29.0,156.39097744360902
Bristo Square,161.5,158.64661654135338
Brunswick Place,154.5,204.5112781954887
Bruntsfield Links,143.5,193.98496240601503
Canonmills,210.5,261.65413533834584
Castle Street,134.0,166.9172932330827
Castle Terrace,145.5,115.0375939849624
Causewayside,186.5,157.89473684210526
Chambers Street,48.0,84.21052631578947
Charlotte Square,105.0,90.22556390977444
City Chambers,37.5,40.6015037593985
Colinton Road,99.0,87.96992481203007
Comely Bank Road,68.0,103.00751879699247
Corstorphine Road,32.5,83.45864661654134
Craigleith Road,34.5,62.40601503759398
Cramond Foreshore,39.5,193.2330827067669
Crichton Street,135.0,113.53383458646616
Dalry Road Lidl,68.0,122.5563909774436
Dean Street,38.5,78.19548872180451
Drumsheugh Place,18.0,87.96992481203007
Dudley Gardens,268.5,124.81203007518796
Duke Street,51.0,450.37593984962405
Dundas Street,142.0,139.09774436090225
Dundee Terrace,180.0,173.68421052631578
Dynamic Earth,47.5,163.9097744360902
EICC,61.0,96.99248120300751
East London Street,81.0,100.75187969924812
Eden Locke - Aparthotel (RESIDENTS ONLY),2.5,0.7518796992481203
Edinburgh Park Station,7.0,26.31578947368421
Edinburgh Royal Infirmary,31.0,45.11278195488722
Edinburgh Zoo,10.0,10.526315789473683
Ellersly Road,11.0,21.804511278195488
Fountain Court  - Apartments (RESIDENTS ONLY),1.0,1.5037593984962405
Fountainbridge,199.0,191.72932330827066
Gamekeeper's Road,10.5,24.06015037593985
George Square,278.0,196.2406015037594
Gladstone Terrace,74.5,100.0
Gorgie Road,22.5,116.54135338345864
Grassmarket,64.0,75.18796992481202
Haymarket Station,99.0,97.74436090225564
Haymarket Terrace,48.0,88.7218045112782
Heriot Watt - Edinburgh Business School,10.5,21.804511278195488
Heriot Watt - Student Accommodation,4.0,9.022556390977444
Hillside Crescent,144.5,216.54135338345864
Holyrood Road,216.0,146.61654135338344
Hunter Square,107.5,82.70676691729322
IGMM - Western General,95.5,148.12030075187968
Inverleith Row,121.5,112.03007518796991
Joppa,43.5,203.00751879699246
Kings Building 2,222.0,147.36842105263156
Kings Building 3,162.0,100.75187969924812
Kings Buildings - Murchison House,47.5,54.88721804511278
Kings Buildings 1,80.0,58.64661654135338
Lauriston Place,102.0,93.98496240601503
Leith Walk,232.5,273.6842105263158
Logie Green Road,148.5,131.57894736842104
Lothian Road,145.5,134.58646616541353
Marchmont Crescent,127.5,125.56390977443608
McDonald Road,94.0,108.27067669172932
Meadow Place,230.5,296.24060150375936
Meadows East,411.0,391.72932330827064
Meggetland,40.0,77.44360902255639
Milton Road - Edinburgh College,11.5,27.06766917293233
Morningside Road,138.5,176.69172932330827
Murrayfield,23.5,29.32330827067669
Murrayfield Tram,12.5,34.58646616541353
Ocean Terminal,84.5,214.28571428571428
Orchard Brae House,23.5,32.33082706766917
Pleasance Courtyard,120.5,98.49624060150376
Pollock Halls,134.0,254.88721804511277
Portobello - Kings Road,179.0,466.16541353383457
Queen Margaret University,9.0,60.90225563909774
Roseburn Street,60.5,112.78195488721803
Royal Commonwealth Pool,94.5,124.06015037593984
Royal Edinburgh Hospital,3.5,10.526315789473683
Scotland Street,60.5,81.203007518797
Sighthill - Edinburgh College,12.0,28.57142857142857
Simon Square,71.0,84.21052631578947
South Trinity Road,143.0,209.02255639097743
St Andrew Square,151.5,183.45864661654133
St Andrews House,39.5,44.3609022556391
Stockbridge,123.5,214.28571428571428
Surgeons Hall,78.0,78.94736842105263
Thirlestane Road,62.0,100.75187969924812
Tollcross,243.5,262.406015037594
Victoria Quay,287.5,407.51879699248116
Waitrose Comely Bank,59.0,89.47368421052632
Warrender Park Road,171.0,196.99248120300751
Waverley Bridge,180.0,163.9097744360902
Waverley Court,71.0,49.62406015037594
Waverley Station,56.0,33.83458646616541
West Crosscauseway,122.5,110.52631578947368
Wester Coates Terrace,49.0,86.46616541353383
Western General Hospital,13.0,54.13533834586466
