start_station_name,rides,start_station_latitude,start_station_longitude
Abbeyhill,72,55.95524788917224,-3.1722162800950704
Balgreen Road,36,55.938941745489494,-3.251110776059022
Belford Road,8,55.95197357717703,-3.2261248046640962
Boroughmuir,42,55.94007146917616,-3.2153358406880836
Borrowman Square,53,55.98260596953824,-3.381454898058536
Bristo Square,17,55.945833715992855,-3.1890530720754664
Brunswick Place,107,55.960851741063955,-3.180985762469163
Bruntsfield Links,117,55.9371232399911,-3.206431879393449
Canonmills,103,55.96280408759764,-3.196283585062929
Castle Street,27,55.95150073734976,-3.2031839065252825
Castle Terrace,10,55.946766486722396,-3.2020378290551434
Causewayside,33,55.93650603148236,-3.1801663476151134
Chambers Street,20,55.94760044619225,-3.188919736735216
Charlotte Square,59,55.95233546161639,-3.2071011721072864
City Chambers,31,55.950109330179,-3.190257770093808
Colinton Road,10,55.93341635916104,-3.21239711224257
Comely Bank Road,51,55.95941012836135,-3.2156613606136943
Corstorphine Road,57,55.941669719204434,-3.271523727766862
Craigleith Road,35,55.95657629337518,-3.237939788691392
Cramond Foreshore,121,55.98003076740317,-3.3006417888325363
Crichton Street,5,55.94478427951007,-3.1869062454337613
Dalmeny Station,16,55.986761326113175,-3.382426853781425
Dalry Road Lidl,56,55.941791296881284,-3.2224153095965
Dean Street,23,55.95727801274065,-3.2142853873890544
Drumsheugh Place,15,55.95159412232485,-3.2123542850940225
Duke Street,218,55.96901164826488,-3.16739470303429
Dundas Street,40,55.9607624081837,-3.201278014771333
Dundee Terrace,61,55.93970989541296,-3.2205889336679547
Dynamic Earth,64,55.95108946523637,-3.17572460948655
EICC,29,55.94607055533778,-3.2103963310007657
East London Street,26,55.95995414501485,-3.1871977585476543
Edinburgh Park Central,4,55.931168715771065,-3.3144142978056834
Edinburgh Park Station,3,55.92738267693901,-3.307442444578868
Edinburgh Royal Infirmary,26,55.9212201226133,-3.1390755550312406
Edinburgh Zoo,19,55.942115346192516,-3.2692867654484417
Ellersly Road,9,55.945045875212095,-3.250881447188249
Forth Bridge Visitors Centre,7,55.987743170866025,-3.4037524459994306
Fountainbridge,59,55.94335692764551,-3.2092475016246453
Gamekeeper's Road,11,55.96944274609889,-3.3072587984723745
George Square,9,55.943084063011135,-3.1883110727223998
Gladstone Terrace,31,55.93796327344498,-3.185021145932069
Gorgie Road,54,55.9387414422504,-3.2299092549009023
Grassmarket,13,55.947097278583385,-3.1972457326126005
Hawes Pier,25,55.990529521430766,-3.3855966605769083
Haymarket Station,40,55.94556945067266,-3.2181846832795604
Haymarket Terrace,35,55.946063966641006,-3.2230240243595745
Heriot Watt - Edinburgh Business School,2,55.9088228790413,-3.320113285176247
Hillside Crescent,93,55.95787194536338,-3.175888370919665
Holyrood Road,42,55.94955950619123,-3.180413257527788
Hopetoun Road,80,55.990182146207864,-3.4046039242787174
Hunter Square,4,55.949797565633276,-3.1877950320129003
IGMM - Western General,63,55.96264210870907,-3.231915547243944
Inverleith Row,18,55.96411787988959,-3.202094747416368
Joppa,74,55.94894930668582,-3.094727261654725
Kings Building 2,6,55.92320215516664,-3.1716462453634904
Kings Building 3,4,55.92347880784664,-3.1753845849070785
Kings Buildings - Murchison House,4,55.92446420087144,-3.1787315124754514
Kings Buildings 1,5,55.92418540667696,-3.1738308300878084
Lauriston Place,61,55.94477165233547,-3.197265856419562
Leith Walk,112,55.965039805077325,-3.1766864147848537
Logie Green Road,26,55.964058329676064,-3.195700361124864
Lothian Road,27,55.947409199207115,-3.2057654971365537
Marchmont Crescent,19,55.9364319181482,-3.1941500443142563
McDonald Road,49,55.9640310527501,-3.1851753729504253
Meadow Place,131,55.940237631689435,-3.194640214184801
Meadows East,143,55.939809466328285,-3.182738850746431
Meggetland,52,55.92758664038103,-3.2336710530441906
Milton Road - Edinburgh College,9,55.94406627599551,-3.0985614794416128
Morningside Road,50,55.92798534979654,-3.209749771944871
Murrayfield,9,55.94479128084842,-3.243673010460725
Murrayfield Tram,14,55.94191081116495,-3.2378003138226177
Ocean Terminal,82,55.98128601479298,-3.176351263805259
Orchard Brae House,14,55.95508276879095,-3.2236342639564555
Pleasance Courtyard,8,55.947566653309394,-3.181591941706529
Pollock Halls,37,55.94008064125911,-3.171746866852459
Portobello - Kings Road,194,55.957915406923476,-3.118332042090288
Queen Margaret University,46,55.931980482636575,-3.0731046336811687
Roseburn Street,72,55.94442555452843,-3.2344977165944333
Royal Commonwealth Pool,15,55.93900024788878,-3.1739235543155933
Royal Edinburgh Hospital,5,55.92781815597736,-3.2133077222032247
Scotland Street,24,55.9603797205459,-3.1954703369027584
Scotstoun House,11,55.981107259596364,-3.3942106079612704
Sighthill - Edinburgh College,12,55.926684277487574,-3.2894811171216665
Simon Square,11,55.94485886752089,-3.182589723460069
South Trinity Road,107,55.97132539148154,-3.2079635674242586
St Andrew Square,69,55.95490573198223,-3.192443756949956
St Andrews House,25,55.95316433242384,-3.1816823409318435
Stockbridge,79,55.958565585897226,-3.2080701822277438
Surgeons Hall,12,55.946642799617116,-3.1854745859388918
Tesco Ferrymuir,7,55.983766187891035,-3.4013518016021744
The Loan,34,55.989899682326545,-3.397772901929727
Thirlestane Road,31,55.93532370964813,-3.198763443819871
Tollcross,92,55.944248052468346,-3.2031045991104747
Victoria Quay,182,55.97761715254634,-3.174126319457628
Waitrose Comely Bank,36,55.95953624971772,-3.223434402338853
Warrender Park Road,13,55.93836921723555,-3.1980326885466184
Waverley Bridge,26,55.95134439884461,-3.191420998989884
Waverley Court,8,55.951734496983434,-3.1841785354060903
Waverley Station,5,55.952641035774384,-3.187526919462357
West Crosscauseway,8,55.9438359841253,-3.1849514084976818
Wester Coates Terrace,23,55.94564841884954,-3.231847150914064
Western General Hospital,48,55.963453810934496,-3.2329093056839615
